name,pt1_idx,pt2_idx,pt1_x,pt1_y,pt2_x,pt2_y,direction
torso,1,8,72,21,41,130,r
left_upper_arm,5,6,28,17,14,110,r
left_forearm,6,7,14,9,38,85,r
right_thigh,9,10,22,17,55,158,r
right_calf,10,11,26,14,39,135,r
right_foot,11,22,22,26,58,33,r
neck,1,-1,30,43,38,5,r
head,-1,0,131,70,159,67,r
left_hand,-1,-1,6,5,22,24,r
hat,-1,-1,117,60,143,48,r
